class,journal_rank,name,general,code,software,sequences,specimens,statement,research_dollars,source
journal,1,Genome Biology,EN,,,,,RQ,,
journal,2,"Annual Review of Ecology, Evolution, and Systematics",,,,,,,,
journal,3,Trends in Ecology and Evolution,,,,,,,,
journal,4,Fungal Diversity,EN,,,RQ,,EN,,
journal,5,Ecology Letters,RQ,EN,,EX,EN,RQ,,
journal,6,Molecular Biology and Evolution,,RQ,RQ,RQ,,,,
journal,7,Systematic Biology,RQ,RQ,RQ,RQ,,RQ,,
journal,8,Annual Review of Entomology,,,,,,,,
journal,9,Nature Ecology and Evolution,RQ,EN,,RQ,EN,RQ,,
journal,10,ISME Journal,EN,,,RQ,,EN,,
journal,11,Ecological Monographs,RQ,RQ,RQ,RQ,,,,
journal,12,Frontiers in Ecology and the Environment,,,,,,,,
journal,13,Methods in Ecology and Evolution,RQ,RQ,,,,RQ,,
journal,14,PLoS Genetics,RQ,,,RQ,,RQ,,
journal,15,BMC Biology,RQ,RQ,,,,RQ,,
journal,16,Molecular Ecology Resources,RQ,EN,,RQ,RQ,RQ,,
journal,17,Global Ecology and Biogeography,EX,EN,,EX,,RQ,,
journal,18,Fish and Fisheries,EN,,,EN,,RQ,,
journal,19,Conservation Letters,EX,EX,,EX,,RQ,,
journal,20,Persoonia,,,,RQ,RQ,,,
journal,21,Molecular Ecology,RQ,EN,,RQ,,RQ,,
journal,22,Ecography,RQ,RQ,RQ,RQ,,RQ,,
journal,23,Cladistics,EX,,,EX,,,,
journal,24,mSystems,RQ,,,RQ,EX,,,
journal,25,Conservation Biology,EN,EN,,,,,,
journal,26,PLoS Computational Biology,RQ,RQ,RQ,RQ,,RQ,,
journal,27,Quaternary Science Reviews,EN,EN,EN,,,EN,,
journal,28,Journal of Ecology,RQ,,,RQ,,RQ,,
journal,29,Functional Ecology,RQ,RQ,RQ,,,RQ,,
journal,30,American Naturalist,RQ,EN,,RQ,,,,
journal,31,Journal of Animal Ecology,RQ,RQ,RQ,,,RQ,,
journal,32,Ecology,EN,RQ,RQ,EN,,,,
journal,33,Evolution; international journal of organic evolution,RQ,RQ,,RQ,,RQ,,
journal,34,Diversity and Distributions,RQ,EN,,RQ,,RQ,,
journal,35,Genome Biology and Evolution,RQ,,,RQ,,,,
journal,36,Environmental Microbiology,RQ,,,RQ,,,,
journal,37,Biological Conservation,EN,EN,EN,RQ,,EN,,
journal,38,Wildlife Monographs,EN,,,,,EX,,
journal,39,Molecular Phylogenetics and Evolution,EN,EN,EN,RQ,,EN,,
journal,40,Evolutionary Applications,RQ,,,RQ,,EX,,
journal,41,Biogeosciences,EN,EN,EN,,,RQ,,
journal,42,Movement Ecology,EN,EN,EN,EN,,RQ,,
journal,43,Oikos,RQ,,,RQ,,,,
journal,44,Mammal Review,EX,,EN,,,,,
journal,45,Ecosystems,EN,,,,,,,
journal,46,Journal of Biogeography,RQ,EN,,RQ,,RQ,,
journal,47,Journal of Systematics and Evolution,RQ,,,RQ,RQ,,,
journal,48,Remote Sensing in Ecology and Conservation,RQ,EN,,,,RQ,,
journal,49,Journal of Human Evolution,EN,EN,EN,RQ,,EN,,
journal,50,Current Opinion in Insect Science,EN,,,,,,,
journal,51,IMA Fungus,RQ,,,RQ,RQ,RQ,,
journal,52,Geobiology,RQ,,,,,,,
journal,53,Systematic Entomology,EX,,,EX,RQ,,,
journal,54,Evolution and Human Behavior,RQ,EN,EN,,,EX,,
journal,55,Frontiers in Zoology,,,,,,RQ,,
journal,56,BMC Evolutionary Biology,EN,EN,EN,EN,,EX,,
journal,57,Palaeontology,EX,,,,RQ,EX,,
journal,58,CCAMLR Science,,,,,,,,
journal,59,Boreas,RQ,,,,,,,
journal,60,Oecologia,,,,,,,,
journal,61,Behavioral Ecology,RQ,,,,,RQ,,
journal,62,ICES Journal of Marine Science,EN,EN,EN,EN,,RQ,,
journal,63,"Genetics, Selection, Evolution",EN,EN,,EN,,RQ,,
journal,64,Reviews in Fisheries Science and Aquaculture,EN,,,,,EN,,
journal,65,Fungal Ecology,EN,EN,EN,EN,,EN,,
journal,66,EvoDevo,EN,EN,EN,EN,,EX,,
journal,67,Animal Behaviour,EN,EN,EN,,,EN,,
journal,68,Life,RQ,EX,,RQ,RQ,,,
journal,69,Current Forestry Reports,RQ,RQ,RQ,RQ,RQ,RQ,,
journal,70,Journal of Experimental Biology,EX,,,RQ,,RQ,,
journal,71,Zoological Journal of the Linnean Society,,,,,RQ,,,
journal,72,Ecosphere,EN,RQ,,EN,,,,
journal,73,Journal of Evolutionary Biology,RQ,RQ,,,,,,
journal,74,Paleobiology,,,,,,,,
journal,75,Botanical Journal of the Linnean Society,,,,,RQ,,,
journal,76,Biology Direct,EN,EN,EN,EN,,EX,,
journal,77,Plants,RQ,EX,EX,RQ,RQ,,,
journal,78,Ecological Indicators,EN,EN,EN,EN,,,,
journal,79,American Journal of Botany,EN,EX,EX,RQ,RQ,EN,,
journal,80,"Palaeogeography, Palaeoclimatology, Palaeoecology",RQ,EN,EN,,,EN,,
journal,81,International Journal of Biological Sciences,,,,,,,,
journal,82,Systematic and Applied Microbiology,EN,EN,EN,RQ,,,,
journal,83,Marine Ecology - Progress Series,,,,RQ,,,,
journal,84,Journal of Zoological Systematics and Evolutionary Research,EN,EN,,RQ,,,,
journal,85,Microbial Ecology,EN,EN,EN,RQ,,EN,,
